State,District,Block,Village,N,P,K,Ph,Zn,S,Soilcolor
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Ajeejpur,0.1312,4,282,5.78,1.1,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Ajnai,0.142621189,4.096824,279.7523,5.78,1.1,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Akodi,0.149748478,4,282,5.78,2.06,14.1955,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Amashya Khedi,0.147426267,6.613464,282,5.78,1.1,14.1955,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Amlawati,0.1312,3.8536,282,5.78,1.1,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Amlay,0.145108924,3.7142,282,5.78,2.06,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Awantipur Badodia,0.13525535,4.130536,280.4803,5.78,1.1,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Awantipura,0.179883668,4,282,5.78,1.1,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Badodrana,0.134447201,4,282,5.78,1.1,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Bagna Khedi,0.136068367,4,282,5.78,1.1,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Banjari,0.136608756,3.5556,282,5.78,2.06,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Banka Khedi,0.137840452,4,282,5.78,1.1,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Barodrani,0.135970999,4,282,5.78,1.1,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Batwadi,0.1312,4,282,5.585,1.1,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Bhada Hedi,0.1312,4,191,5.78,1.1,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Bheel Khedi,0.137285458,4.026688,287.1291,5.78,1.1,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Bhilkheda,0.133230109,4,282,5.78,1.1,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Bhugor,0.134763644,4.191296,282.7808,5.78,1.1,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Bhyana Jadopur,0.133697472,4.100352,285.1488,5.78,1.1,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Binaya,0.151004516,4,282,5.78,1.1,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Chakrod,0.1312,4,282,5.78,1.1,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Chapadiya,0.158248646,4,282,5.78,1.1,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Chouki Nasirabad,0.1312,4,282,5.78,1.1,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Chouki Niranjanpur,0.133906812,4,282,5.78,1.1,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Chouki Shahpur,0.138322421,3.803048,277.5592,5.801,1.1,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Dabri,0.155541834,4,282,5.78,1.1,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Dehandi,0.1312,3.5,282,5.78,2.06,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Deoli,0.1312,4.186592,277.6684,5.78,1.1,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Dewan Khedi,0.1312,3.8182,282,5.78,1.1,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Dhabla Husainpur,0.1312,4,282,5.78,2.06,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Dholpur,0.1312,4,282,5.78,1.1,7.305,brown
MADHYA PRADESH,SHAJAPUR,SHUJALPUR - 4006,Dubadiya,0.133760761,4.050496,285.2349,5.78,1.1,7.305,brown
