# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"State","District","Block","Village","Scheme","Cycle","N","P","K","OC","ph","EC","S","Fe","Zn","Cu","B","Mn"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Acharpura","","2025-26","39.17","64.17","77.5","58.34","7","100","88.89","94.44","75","97.22","94.44","91.67"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Agariya","","2025-26","42","72","90","60","7","100","60","100","40","100","100","100"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Amarpura","","2025-26","42.86","55.72","77.14","64.29","7","100","85.71","100","71.43","100","100","100"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Amjhira","","2025-26","39","60","86","57","7","100","93.33","90","93.33","100","96.67","100"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Amoni","","2025-26","40.91","62.72","90","59.99","7","100","90.91","100","100","100","100","100"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Amrabad Kalan","","2025-26","30","60","66.14","42.27","7","100","75","88.64","54.55","93.18","88.64","88.64"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Anwala","","2025-26","41.19","59.53","82.86","59.29","7","100","93.65","88.89","77.78","100","97.62","100"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Arhedi","","2025-26","40.71","59.99","83.57","59.99","7","100","92.86","92.86","78.57","100","100","92.86"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Arwaliya","","2025-26","30","60","60","45","7","100","50","50","100","50","100","50"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Babadiya Khurd","","2025-26","37.5","60","82.5","67.5","7","100","100","100","100","100","100","100"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Badjhiri","","2025-26","41.14","56.58","83.14","58.28","7","100","94.29","82.86","82.86","100","100","100"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Bagarauda","","2025-26","41.25","60","82.51","61.25","7","100","91.67","91.67","79.17","100","100","95.83"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Bagli","","2025-26","30","90","90","30","7","100","100","100","100","100","100","100"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Bagoniya","","2025-26","35.3","60","61.76","49.41","7","100","72.55","86.27","62.75","98.04","90.2","86.27"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Bakaniya","","2025-26","43.33","60","60","60","7","100","66.67","88.89","77.78","88.89","77.78","88.89"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Balampur","","2025-26","41.47","62.65","84.7","59.12","7","100","97.06","82.35","82.35","100","94.12","97.06"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Bankhedi","","2025-26","30","60","90","60","7","100","100","0","100","100","100","100"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Bansiya","","2025-26","45","60","90","60","7","100","100","100","100","100","100","100"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Barkheda Nathu","","2025-26","42","60","90","60","7","100","100","100","80","100","100","100"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Barkhedi Abdulla","","2025-26","42.24","63.16","84.87","59.21","7","100","90.79","93.42","84.21","100","96.05","100"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Barkhedi Hajjam","","2025-26","39.81","56.54","79.62","57.12","7","100","84.62","88.46","50","98.08","90.38","98.08"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Barkhedi Khurd","","2025-26","30","60","60","60","7","100","0","100","0","100","100","100"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Beenapur","","2025-26","30","60","63.33","43.33","7","100","88.89","88.89","77.78","88.89","77.78","88.89"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Bhairopur","","2025-26","36.67","53.33","70","56.66","7","100","77.78","77.78","44.44","100","100","100"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Bhanpur","","2025-26","43.45","64.14","83.79","60","7","100","96.55","93.1","89.66","100","93.1","100"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Bherupura","","2025-26","36.67","66.67","76.67","53.33","7","100","88.89","77.78","44.44","100","100","100"
"MADHYA PRADESH","BHOPAL","PHANDA - 3778","Bhoj Nagar","","2025-26","30","60","70","43.33","7","100","61.11","94.44","66.67","100","83.33","88.89"
